Sale_ID,Product_Name,Category,Quantity,Unit_Price,Discount(%),Salesperson,Region,Payment_Method,Date,Total_Amount,Discount_Amount,Final_Amount
S1000,Smartphone,Office Supplies,7,47563,23,Grace,West,Cash,01-01-23,332941,76576.43,256364.57
S1001,Laptop,Office Supplies,4,31178,16,Hannah,North,UPI,02-01-23,124712,19953.92,104758.08
S1002,Keyboard,Wearables,8,11182,9,Hannah,East,UPI,03-01-23,89456,8051.04,81404.96
S1003,Monitor,Accessories,5,49648,28,David,East,Debit Card,04-01-23,248240,69507.2,178732.8
S1004,Monitor,Wearables,7,9019,9,Eve,South,UPI,05-01-23,63133,5681.97,57451.03
S1005,Headphones,Wearables,3,31980,,Frank,North,Cash,06-01-23,95940,0,95940
S1006,Smartphone,Office Supplies,7,20194,3,Eve,West,Cash,07-01-23,141358,4240.74,137117.26
S1007,Smartwatch,Office Supplies,8,3800,19,Alice,West,Cash,08-01-23,30400,5776,24624
S1008,Smartphone,Wearables,5,7222,3,Bob,South,UPI,09-01-23,36110,1083.3,35026.7
S1009,Camera,Wearables,4,40486,21,David,North,UPI,10-01-23,161944,34008.24,127935.76
S1010,Printer,Office Supplies,8,24660,6,Alice,West,Cash,11-01-23,197280,11836.8,185443.2
S1011,Laptop,Accessories,8,20559,21,Charlie,North,Net Banking,12-01-23,164472,34539.12,129932.88
S1012,Laptop,Accessories,3,36322,,Grace,South,Credit Card,13-01-23,108966,0,108966
S1013,Smartphone,Wearables,6,14075,11,Charlie,North,Debit Card,14-01-23,84450,9289.5,75160.5
S1014,Monitor,Accessories,5,8470,23,Alice,North,Net Banking,15-01-23,42350,9740.5,32609.5
S1015,Monitor,Wearables,2,35411,,Grace,North,Credit Card,16-01-23,70822,0,70822
S1016,Smartwatch,Electronics,8,22091,9,Hannah,South,UPI,17-01-23,176728,15905.52,160822.48
S1017,Camera,Office Supplies,6,32321,14,Charlie,South,Debit Card,18-01-23,193926,27149.64,166776.36
S1018,Laptop,Wearables,2,10003,26,Eve,South,Net Banking,19-01-23,20006,5201.56,14804.44
S1019,Smartwatch,Wearables,5,48417,12,Alice,West,Debit Card,20-01-23,242085,29050.2,213034.8
S1020,Monitor,Wearables,1,19422,22,Alice,East,UPI,21-01-23,19422,4272.84,15149.16
S1021,Smartwatch,Accessories,6,12675,21,Eve,North,Credit Card,22-01-23,76050,15970.5,60079.5
S1022,Printer,Wearables,9,41624,21,Bob,East,Credit Card,23-01-23,374616,78669.36,295946.64
S1023,Monitor,Electronics,1,21889,,Frank,North,Credit Card,24-01-23,21889,0,21889
S1024,Tablet,Accessories,3,48338,21,Eve,North,Net Banking,25-01-23,145014,30452.94,114561.06
S1025,Camera,Office Supplies,7,1322,27,Hannah,North,Credit Card,26-01-23,9254,2498.58,6755.42
S1026,Keyboard,Electronics,4,17827,8,Hannah,South,Net Banking,27-01-23,71308,5704.64,65603.36
S1027,Laptop,Wearables,9,47557,25,Charlie,West,Net Banking,28-01-23,428013,107003.25,321009.75
S1028,Headphones,Electronics,3,6650,8,Hannah,South,Cash,29-01-23,19950,1596,18354
S1029,Printer,Wearables,5,4925,14,Eve,North,Net Banking,30-01-23,24625,3447.5,21177.5
S1030,Mouse,Electronics,3,16532,9,David,East,Debit Card,31-01-23,49596,4463.64,45132.36
S1031,Keyboard,Accessories,7,2698,23,Bob,North,Credit Card,01-02-23,18886,4343.78,14542.22
S1032,Headphones,Wearables,5,20579,25,Frank,North,Net Banking,02-02-23,102895,25723.75,77171.25
S1033,Monitor,Accessories,9,36720,24,Charlie,West,UPI,03-02-23,330480,79315.2,251164.8
